date,code,action,shares,price,fee
2025-01-02,000056.SZ,BUY,100,13.0893,0.261786
2025-01-02,000059.SZ,BUY,200,8.4525,0.3381
2025-01-02,000068.SZ,BUY,200,7.4768,0.299072
2025-01-02,000100.SZ,BUY,100,18.4404,0.368808
2025-01-02,000155.SZ,BUY,100,16.7207,0.33441400000000004
2025-01-02,000156.SZ,BUY,200,8.5227,0.340908
2025-01-02,000159.SZ,BUY,100,18.7734,0.375468
2025-01-02,000166.SZ,BUY,200,7.8644,0.31457599999999997
2025-01-02,000301.SZ,BUY,100,19.0283,0.38056600000000007
2025-01-02,000409.SZ,BUY,100,18.6429,0.3728580000000001
2025-01-02,000498.SZ,BUY,100,17.9363,0.358726
2025-01-02,000504.SZ,BUY,100,17.3489,0.34697800000000006
2025-01-02,000506.SZ,BUY,100,10.8263,0.216526
2025-01-02,000514.SZ,BUY,100,18.1371,0.362742
2025-01-02,000536.SZ,BUY,100,16.3091,0.326182
2025-01-02,000545.SZ,BUY,100,9.8486,0.19697199999999998
2025-01-02,000546.SZ,BUY,200,9.1995,0.36798000000000003
2025-01-02,000548.SZ,BUY,100,18.7815,0.37563
2025-01-02,000560.SZ,BUY,100,15.9594,0.319188
2025-01-02,000572.SZ,BUY,100,18.8571,0.377142
2025-01-02,000592.SZ,BUY,100,19.0623,0.38124600000000003
2025-01-02,000607.SZ,BUY,100,13.8622,0.27724400000000005
2025-01-02,000609.SZ,BUY,100,14.6506,0.29301200000000005
2025-01-02,000620.SZ,BUY,300,5.0937,0.30562200000000006
2025-01-02,000656.SZ,BUY,100,12.3338,0.24667600000000003
2025-01-02,000669.SZ,BUY,200,7.3014,0.292056
2025-01-02,000691.SZ,BUY,100,10.4162,0.20832399999999998
2025-01-02,000698.SZ,BUY,100,10.1913,0.203826
2025-01-02,000701.SZ,BUY,200,7.9555,0.31822
2025-01-02,000702.SZ,BUY,100,17.0029,0.340058
2025-01-02,000711.SZ,BUY,100,15.6143,0.312286
2025-01-02,000717.SZ,BUY,100,13.8895,0.27779000000000004
2025-01-02,000727.SZ,BUY,100,15.2136,0.304272
2025-01-02,000751.SZ,BUY,200,9.4022,0.37608800000000003
2025-01-02,000755.SZ,BUY,100,12.9845,0.25969000000000003
2025-01-02,000757.SZ,BUY,100,15.1318,0.302636
2025-01-02,000761.SZ,BUY,200,7.5533,0.302132
2025-01-02,000779.SZ,BUY,100,18.9828,0.37965600000000005
2025-01-02,000782.SZ,BUY,100,15.4994,0.30998800000000004
2025-01-02,000796.SZ,BUY,100,16.843,0.33686
2025-01-02,000797.SZ,BUY,100,18.6559,0.373118
