date,code,action,shares,price,fee
2025-01-15,000001.SZ,BUY,200,900.4894,36.019576
2025-01-15,000002.SZ,BUY,100,1246.488,24.92976
2025-01-15,000004.SZ,BUY,3600,54.537,39.266639999999995
2025-01-15,000006.SZ,BUY,700,269.435,37.7209
2025-01-15,000007.SZ,BUY,3400,58.316,39.65488
2025-01-15,000008.SZ,BUY,3300,60.5024,39.93158400000001
2025-01-15,000009.SZ,BUY,2500,77.2915,38.64575
2025-01-15,000010.SZ,BUY,6100,32.3236,39.434792
2025-01-15,000011.SZ,BUY,5400,37.0063,39.966804
2025-01-15,000012.SZ,BUY,1300,151.4341,39.372866
2025-01-15,000014.SZ,BUY,2800,68.9809,38.629304000000005
2025-01-15,000016.SZ,BUY,1400,138.5041,38.781148
2025-01-15,000017.SZ,BUY,13100,15.1843,39.782866000000006
2025-01-15,000019.SZ,BUY,6700,29.674,39.76316
2025-01-15,000020.SZ,BUY,9400,21.1445,39.75166000000001
2025-01-15,000021.SZ,BUY,700,264.4817,37.027438000000004
2025-01-15,000025.SZ,BUY,4600,43.4093,39.936556
2025-01-15,000026.SZ,BUY,2300,85.9471,39.535666000000006
2025-01-15,000027.SZ,BUY,1800,110.7218,39.859848
2025-01-15,000028.SZ,BUY,1300,149.0189,38.744914
2025-01-15,000029.SZ,BUY,6100,32.6041,39.777002
2025-01-15,000030.SZ,BUY,9600,20.7212,39.784704
2025-01-15,000031.SZ,BUY,4800,41.6089,39.944544
2025-01-15,000032.SZ,BUY,2900,68.6557,39.820306
2025-01-15,000034.SZ,BUY,1900,103.7258,39.41580400000001
2025-01-15,000035.SZ,BUY,9300,21.4948,39.98032800000001
2025-01-15,000036.SZ,BUY,3900,51.1029,39.860262
2025-01-15,000037.SZ,BUY,4600,43.4194,39.945848000000005
2025-01-15,000039.SZ,BUY,500,384.3794,38.43794
2025-01-15,000042.SZ,BUY,3400,58.7157,39.926676
2025-01-15,000045.SZ,BUY,6400,31.0595,39.75616
2025-01-15,000048.SZ,BUY,1200,164.2794,39.427056
2025-01-15,000049.SZ,BUY,900,210.0896,37.816128
2025-01-15,000050.SZ,BUY,2600,75.8713,39.453076
2025-01-15,000055.SZ,BUY,4800,41.306,39.65376
2025-01-15,000056.SZ,BUY,15300,12.9951,39.765006
2025-01-15,000058.SZ,BUY,7800,25.5291,39.825396000000005
2025-01-15,000059.SZ,BUY,24300,8.1975,39.83985
2025-01-15,000060.SZ,BUY,1000,189.9085,37.981700000000004
2025-01-15,000061.SZ,BUY,1300,150.3184,39.082784
2025-01-15,000062.SZ,BUY,1100,171.6946,37.772812
2025-01-15,000063.SZ,BUY,200,686.466,27.458640000000003
