date,code,action,shares,price,fee
2025-01-15,920469.BJ,BUY,12100,16.4545,39.81989
2025-01-15,920346.BJ,BUY,7900,25.0468,39.573944000000004
2025-01-15,920985.BJ,BUY,17300,11.5177,39.851242
2025-01-15,920770.BJ,BUY,10300,19.3871,39.937426
2025-01-15,002868.SZ,BUY,9300,21.4235,39.847710000000006
2025-01-15,920058.BJ,BUY,6100,32.5291,39.68550200000001
2025-01-15,920729.BJ,BUY,7300,27.2244,39.747624
2025-01-15,688700.SH,BUY,3700,52.6336,38.948864
2025-01-15,002852.SZ,BUY,8000,24.8975,39.836
2025-01-15,920273.BJ,BUY,7800,25.6235,39.97266
2025-01-15,920593.BJ,BUY,1500,130.0133,39.00399
2025-01-15,920640.BJ,BUY,4000,49.5551,39.64408000000001
2025-01-15,300871.SZ,BUY,12500,15.9469,39.86725
2025-01-15,002963.SZ,BUY,18300,10.9165,39.95439
2025-01-15,920556.BJ,BUY,24600,8.1233,39.96663600000001
2025-01-15,688156.SH,BUY,14500,13.779,39.9591
2025-01-15,603359.SH,BUY,21400,9.3054,39.827112
2025-01-15,603333.SH,BUY,29600,6.7533,39.979536
2025-01-15,300511.SZ,BUY,19600,10.1702,39.867184
2025-01-15,603657.SH,BUY,9400,21.2088,39.872544000000005
2025-01-15,603153.SH,BUY,11000,18.1737,39.98214
2025-01-15,300970.SZ,BUY,8300,23.9263,39.717658
2025-01-15,001338.SZ,BUY,20200,9.8956,39.978224000000004
2025-01-15,603630.SH,BUY,11600,17.1027,39.678264
2025-01-15,920014.BJ,BUY,13200,15.0909,39.839976
2025-01-15,920821.BJ,BUY,3800,52.6088,39.982688
2025-01-15,600268.SH,BUY,2800,70.0059,39.203304
2025-01-15,600737.SH,BUY,1500,127.6485,38.29455
2025-01-15,001366.SZ,BUY,18600,10.7409,39.956148
2025-01-15,603101.SH,BUY,10500,19.0118,39.924780000000005
2025-01-15,600182.SH,BUY,10300,19.2653,39.686518
2025-01-15,301349.SZ,BUY,4400,45.0135,39.61188
2025-01-15,688619.SH,BUY,22900,8.7271,39.970118
2025-01-15,601318.SH,BUY,1300,147.1188,38.250888
2025-01-15,002772.SZ,BUY,12100,16.4808,39.883536
2025-01-15,301098.SZ,BUY,16800,11.8565,39.83784000000001
2025-01-15,300982.SZ,BUY,9600,20.6814,39.708288
2025-01-15,920679.BJ,BUY,10700,18.6383,39.885962
2025-01-15,603335.SH,BUY,27000,7.3857,39.882780000000004
2025-01-15,300847.SZ,BUY,7900,25.2101,39.831958
2025-01-15,300600.SZ,BUY,9900,20.1782,39.952836
2025-01-15,603559.SH,BUY,11400,17.5373,39.985043999999995
2025-01-15,920992.BJ,BUY,14200,14.0644,39.942896
2025-01-15,600820.SH,BUY,1300,145.6924,37.880024
2025-01-15,301179.SZ,BUY,4400,45.2257,39.798616
2025-01-15,300939.SZ,BUY,4100,47.7449,39.150818
2025-01-15,002481.SZ,BUY,2000,98.83,39.532000000000004
2025-01-15,600223.SH,BUY,14700,13.5433,39.817302000000005
2025-01-15,920425.BJ,BUY,6800,29.0209,39.468424
2025-02-06,920469.BJ,SELL,12100,16.8764,40.840888
2025-02-06,920346.BJ,SELL,7900,25.898,40.91884
2025-02-06,920985.BJ,SELL,17300,11.4003,39.445038000000004
2025-02-06,920770.BJ,SELL,10300,18.469,38.04614
