date,code,action,shares,price,fee
2025-01-15,920469.BJ,BUY,12100,16.4545,39.81989
2025-01-15,920346.BJ,BUY,7900,25.0468,39.573944000000004
2025-01-15,600053.SH,BUY,5900,33.5588,39.599384
2025-01-15,920839.BJ,BUY,6300,31.3528,39.504528
2025-01-15,920090.BJ,BUY,25100,7.947,39.89394000000001
2025-01-15,920821.BJ,BUY,3800,52.6088,39.982688
2025-01-15,920523.BJ,BUY,6500,30.7514,39.976820000000004
2025-01-15,920505.BJ,BUY,4600,43.0257,39.583644
2025-01-15,301273.SZ,BUY,10500,18.8891,39.66711
2025-01-15,920885.BJ,BUY,7500,26.6203,39.93045
2025-01-15,920703.BJ,BUY,6000,33.0271,39.63252
2025-01-15,920339.BJ,BUY,21500,9.2962,39.97366
2025-01-15,920374.BJ,BUY,6600,30.089,39.71748
2025-01-15,688700.SH,BUY,3700,52.6336,38.948864
2025-01-15,920837.BJ,BUY,17300,11.5177,39.851242
2025-01-15,920199.BJ,BUY,5600,35.1193,39.333616000000006
2025-01-15,920932.BJ,BUY,7800,25.5863,39.91462800000001
2025-01-15,600999.SH,BUY,5200,38.064,39.58656
2025-01-15,002857.SZ,BUY,9600,20.7956,39.927552000000006
2025-01-15,920556.BJ,BUY,24600,8.1233,39.96663600000001
2025-01-15,002868.SZ,BUY,9300,21.4235,39.847710000000006
2025-01-15,920000.BJ,BUY,6700,29.6129,39.681286
2025-01-15,920564.BJ,BUY,11700,17.0663,39.935142
2025-01-15,603333.SH,BUY,29600,6.7533,39.979536
2025-01-15,600820.SH,BUY,1300,145.6924,37.880024
2025-01-15,603193.SH,BUY,8200,24.3831,39.988284
2025-01-15,920006.BJ,BUY,7800,25.4339,39.676884
2025-01-15,603559.SH,BUY,11400,17.5373,39.985043999999995
2025-01-15,920273.BJ,BUY,7800,25.6235,39.97266
2025-01-15,920415.BJ,BUY,12200,16.3349,39.857156
2025-01-15,920978.BJ,BUY,11900,16.681,39.70078000000001
2025-01-15,920239.BJ,BUY,3600,54.6717,39.363624
2025-01-15,920593.BJ,BUY,1500,130.0133,39.00399
2025-01-15,603798.SH,BUY,7900,25.2738,39.932604000000005
2025-01-15,301318.SZ,BUY,3500,55.6467,38.952690000000004
2025-01-15,688619.SH,BUY,22900,8.7271,39.970118
2025-01-15,920679.BJ,BUY,10700,18.6383,39.885962
2025-01-15,920378.BJ,BUY,17600,11.3038,39.789376000000004
2025-01-15,603042.SH,BUY,17500,11.4041,39.91435
2025-01-15,920260.BJ,BUY,7900,25.1293,39.704294000000004
2025-01-15,920809.BJ,BUY,37100,5.382,39.934439999999995
2025-01-15,920675.BJ,BUY,16900,11.8235,39.96343
2025-01-15,920395.BJ,BUY,4500,44.1004,39.69036
2025-01-15,920075.BJ,BUY,5700,34.8303,39.706542000000006
2025-01-15,920510.BJ,BUY,6800,29.0888,39.560768
2025-01-15,920491.BJ,BUY,7600,26.1348,39.724896
2025-01-15,920363.BJ,BUY,12200,16.3475,39.8879
2025-01-15,920146.BJ,BUY,25500,7.813,39.8463
2025-01-15,920575.BJ,BUY,5400,36.6886,39.623688
2025-01-15,603657.SH,BUY,9400,21.2088,39.872544000000005
2025-02-06,920469.BJ,SELL,12100,16.8764,40.840888
2025-02-06,920346.BJ,SELL,7900,25.898,40.91884
