2026-06-01 02:19:25,376 | INFO | 📦 加载训练面板...
2026-06-01 02:21:23,765 | INFO | 📊 特征提取完成 | 数量: 242 | 包含模型: ['ElasticNet', 'XGBoost', 'LightGBM', 'OptSharpe']
2026-06-01 02:21:35,570 | INFO | 🚀 启动回测 | 交易日: 1940 | 特征数: 242
2026-06-01 02:21:56,961 | INFO | 🔧 ML模型重训完成 | 样本: 377988
2026-06-01 02:21:58,043 | INFO | 📊 进度: 2016-11-07 | 现金: 13,205
2026-06-01 02:22:19,079 | INFO | 🔧 ML模型重训完成 | 样本: 397249
2026-06-01 02:22:41,393 | INFO | 🔧 ML模型重训完成 | 样本: 403746
2026-06-01 02:22:42,023 | INFO | 📊 进度: 2017-01-17 | 现金: 104,715
2026-06-01 02:23:04,602 | INFO | 🔧 ML模型重训完成 | 样本: 410897
2026-06-01 02:23:27,869 | INFO | 🔧 ML模型重训完成 | 样本: 416706
2026-06-01 02:23:28,037 | INFO | 📊 进度: 2017-04-06 | 现金: 16,118
2026-06-01 02:23:51,399 | INFO | 🔧 ML模型重训完成 | 样本: 420315
2026-06-01 02:23:52,521 | INFO | 📊 进度: 2017-06-20 | 现金: 16,118
2026-06-01 02:24:14,759 | INFO | 🔧 ML模型重训完成 | 样本: 421865
2026-06-01 02:24:38,456 | INFO | 🔧 ML模型重训完成 | 样本: 423445
2026-06-01 02:24:39,137 | INFO | 📊 进度: 2017-08-29 | 现金: 16,118
2026-06-01 02:25:02,185 | INFO | 🔧 ML模型重训完成 | 样本: 426945
2026-06-01 02:25:26,631 | INFO | 🔧 ML模型重训完成 | 样本: 431774
2026-06-01 02:25:26,851 | INFO | 📊 进度: 2017-11-14 | 现金: 16,118
2026-06-01 02:25:50,770 | INFO | 🔧 ML模型重训完成 | 样本: 437826
2026-06-01 02:25:52,050 | INFO | 📊 进度: 2018-01-24 | 现金: 16,118
2026-06-01 02:26:15,405 | INFO | 🔧 ML模型重训完成 | 样本: 445248
2026-06-01 02:26:40,322 | INFO | 🔧 ML模型重训完成 | 样本: 453968
2026-06-01 02:26:41,132 | INFO | 📊 进度: 2018-04-13 | 现金: 3,391
2026-06-01 02:27:06,104 | INFO | 🔧 ML模型重训完成 | 样本: 464307
2026-06-01 02:27:32,437 | INFO | 🔧 ML模型重训完成 | 样本: 474003
2026-06-01 02:27:32,651 | INFO | 📊 进度: 2018-06-27 | 现金: 27,311
2026-06-01 02:27:59,455 | INFO | 🔧 ML模型重训完成 | 样本: 483871
2026-06-01 02:28:01,037 | INFO | 📊 进度: 2018-09-05 | 现金: 320
2026-06-01 02:28:27,016 | INFO | 🔧 ML模型重训完成 | 样本: 495773
2026-06-01 02:28:55,158 | INFO | 🔧 ML模型重训完成 | 样本: 508585
2026-06-01 02:28:56,151 | INFO | 📊 进度: 2018-11-22 | 现金: 2,150
2026-06-01 02:29:23,567 | INFO | 🔧 ML模型重训完成 | 样本: 522741
2026-06-01 02:29:53,104 | INFO | 🔧 ML模型重训完成 | 样本: 536273
