TRADE_DT,Value
2016-10-10,10000000.0
2016-10-11,10000000.0
2016-10-12,10000000.0
2016-10-13,10000000.0
2016-10-14,10000000.0
2016-10-17,9998031.641664
2016-10-18,9963633.200884277
2016-10-19,9969022.223704698
2016-10-20,9969813.559439598
2016-10-21,10017355.556110077
2016-10-24,10055032.246898625
2016-10-25,9994520.41642917
2016-10-26,10002257.943655113
2016-10-27,9883048.472003197
2016-10-28,9887015.58454258
2016-10-31,9755616.415559247
2016-11-01,9673047.014765255
2016-11-02,9712317.155988239
2016-11-03,9765507.891157687
2016-11-04,9736903.341884848
2016-11-07,9610179.758076582
2016-11-08,9523062.95130176
2016-11-09,9661246.015068738
2016-11-10,9757503.71318951
2016-11-11,9743082.21976759
2016-11-14,9432804.803823564
2016-11-15,9450441.340748424
2016-11-16,9420169.606001485
2016-11-17,9377872.567811156
2016-11-18,9403701.522546044
2016-11-21,9458515.64056292
2016-11-22,9430850.862772487
2016-11-23,9367506.020585481
2016-11-24,9416690.03978116
2016-11-25,9460797.072143545
2016-11-28,9106766.9424032
2016-11-29,9100587.552462356
2016-11-30,9188073.01354569
2016-12-01,9012317.693065194
2016-12-02,8918138.9708892
2016-12-05,8703184.644164635
2016-12-06,8805380.823168168
2016-12-07,8758155.138015853
2016-12-08,8781541.976547716
2016-12-09,8355460.319183685
2016-12-12,8426378.854519371
2016-12-13,8399094.56063298
2016-12-14,8431802.842440164
2016-12-15,8470812.471047997
2016-12-16,8517200.651284253
2016-12-19,8412726.44437795
2016-12-20,8525817.994253084
2016-12-21,8568397.40083755
2016-12-22,8446596.297283078
2016-12-23,8462701.528316379
2016-12-26,8504879.774038922
2016-12-27,8521156.750584718
2016-12-28,8467432.669991957
2016-12-29,8449531.54079991
2016-12-30,8519993.342676667
2017-01-03,8603293.461876055
2017-01-04,8664997.415927116
2017-01-05,8650703.494595852
2017-01-06,8700955.075225035
2017-01-09,8636667.639170632
2017-01-10,8558491.367284335
2017-01-11,8478642.45444308
2017-01-12,8326423.726647601
2017-01-13,8017150.595461977
2017-01-16,8083742.006556199
2017-01-17,7914888.146011364
2017-01-18,7856757.270454057
2017-01-19,7952961.032410349
