TRADE_DT,Value
2016-10-10,10000000.0
2016-10-11,10000000.0
2016-10-12,10000000.0
2016-10-13,10000000.0
2016-10-14,10000000.0
2016-10-17,9998007.197000002
2016-10-18,10054432.541988038
2016-10-19,10054163.853028828
2016-10-20,9952631.02259663
2016-10-21,10065259.87956733
2016-10-24,10233120.014836121
2016-10-25,10253794.997574272
2016-10-26,10284107.87990803
2016-10-27,10114850.781960344
2016-10-28,10074937.537062388
2016-10-31,10016356.229670178
2016-11-01,10027587.87947498
2016-11-02,10184284.720778503
2016-11-03,10149449.852386713
2016-11-04,10227460.01242044
2016-11-07,10237281.197330428
2016-11-08,10170424.47820202
2016-11-09,10311378.035687378
2016-11-10,10327345.774293171
2016-11-11,10384566.400786309
2016-11-14,10114638.562691184
2016-11-15,10117307.212819494
2016-11-16,10071045.301726284
2016-11-17,10065632.259683311
2016-11-18,10112347.632582419
2016-11-21,10256946.347763179
2016-11-22,10188116.070291469
2016-11-23,10087017.125798425
2016-11-24,10052992.554819725
2016-11-25,10006485.061712021
2016-11-28,9790077.59396243
2016-11-29,9804750.732056528
2016-11-30,9904124.824328784
2016-12-01,9722136.930554546
2016-12-02,9701127.00454921
2016-12-05,9664819.310757987
2016-12-06,9843595.408181949
2016-12-07,9856641.753145134
2016-12-08,9841410.357002879
2016-12-09,9149334.030798532
2016-12-12,9155666.023319548
2016-12-13,9121808.216448532
2016-12-14,9292947.705567287
2016-12-15,9517877.879521368
2016-12-16,9462150.213830765
2016-12-19,9551864.795627281
2016-12-20,9655771.816676758
2016-12-21,9637661.84913933
2016-12-22,9489263.339030748
2016-12-23,9614910.70471148
2016-12-26,9697153.711403549
2016-12-27,9716408.56151606
2016-12-28,9697578.099628558
2016-12-29,9667854.681316102
2016-12-30,9727490.717171015
2017-01-03,9866792.594183223
2017-01-04,9797243.788094154
2017-01-05,9622473.41517833
2017-01-06,9701980.315124866
2017-01-09,9730900.731525373
2017-01-10,9812749.0927163
2017-01-11,9699235.346352823
2017-01-12,9507295.775018658
2017-01-13,9020013.709946137
2017-01-16,9123571.893177116
2017-01-17,8769187.318650533
2017-01-18,8741578.864329258
2017-01-19,8932554.75656514
