TRADE_DT,Value
2016-10-10,10000000.0
2016-10-11,10000000.0
2016-10-12,10000000.0
2016-10-13,10000000.0
2016-10-14,10000000.0
2016-10-17,9998024.623000002
2016-10-18,10053537.168175835
2016-10-19,10001617.430801766
2016-10-20,10019309.579559127
2016-10-21,10090298.431089496
2016-10-24,9378631.502792116
2016-10-25,9353700.914012086
2016-10-26,9304364.679508647
2016-10-27,9187317.844146246
2016-10-28,9156728.784413371
2016-10-31,8979842.395673342
2016-11-01,8921941.542876929
2016-11-02,9017711.266394168
2016-11-03,8945863.005654447
2016-11-04,8955950.15523191
2016-11-07,8803330.666047977
2016-11-08,8755858.720214924
2016-11-09,8867898.675715303
2016-11-10,8850233.35361713
2016-11-11,8811926.205098381
2016-11-14,8935950.600019522
2016-11-15,8914627.192168457
2016-11-16,8851171.859333022
2016-11-17,8845713.376149036
2016-11-18,8818567.976416804
2016-11-21,8870471.268112348
2016-11-22,8827065.83254026
2016-11-23,8759822.774101153
2016-11-24,8728555.488413354
2016-11-25,8718171.592766862
2016-11-28,8739406.015402809
2016-11-29,8747214.16274967
2016-11-30,8766876.506148944
2016-12-01,8649148.61355377
2016-12-02,8627743.646882098
2016-12-05,8761627.217442917
2016-12-06,8932714.648411147
2016-12-07,8876766.849895224
2016-12-08,8843173.217937559
2016-12-09,8484620.766059743
2016-12-12,8071680.127369835
2016-12-13,8018661.921515709
2016-12-14,8095364.815373436
2016-12-15,8199199.261942646
2016-12-16,8134466.193880441
2016-12-19,7666133.756228914
2016-12-20,7695991.877728913
2016-12-21,7664730.983430491
2016-12-22,7542074.382534902
2016-12-23,7576394.739074162
2016-12-26,7358108.360827295
2016-12-27,7297319.749890324
2016-12-28,7229251.735076385
2016-12-29,7182723.514830848
2016-12-30,7245956.533850171
2017-01-03,6914176.022951332
2017-01-04,6871493.442119783
2017-01-05,6752892.95534419
2017-01-06,6766787.097932727
2017-01-09,6740298.351799428
2017-01-10,6766460.303538076
2017-01-11,6664612.185152767
2017-01-12,6567264.129232015
2017-01-13,6376193.420804417
2017-01-16,6408565.71307446
2017-01-17,5501280.053437868
2017-01-18,5440113.048392791
2017-01-19,5499493.62812119
