TRADE_DT,Value
2016-10-10,10000000.0
2016-10-11,10000000.0
2016-10-12,10000000.0
2016-10-13,10000000.0
2016-10-14,10000000.0
2016-10-17,9998010.439200003
2016-10-18,10058893.347606389
2016-10-19,10059304.220803337
2016-10-20,9996680.242579125
2016-10-21,10139751.760627966
2016-10-24,10301968.82814194
2016-10-25,10338301.386669388
2016-10-26,10386288.43938229
2016-10-27,10203690.327889577
2016-10-28,10185796.499075443
2016-10-31,10299534.976294396
2016-11-01,10325601.395925311
2016-11-02,10441423.862232883
2016-11-03,10424884.132370833
2016-11-04,10444863.848537713
2016-11-07,10436945.669474952
2016-11-08,10358517.792301372
2016-11-09,10517633.537290616
2016-11-10,10581817.468871929
2016-11-11,10652925.92503859
2016-11-14,10645567.100601984
2016-11-15,10694905.926963156
2016-11-16,10637785.850812208
2016-11-17,10649160.29561808
2016-11-18,10674574.94946651
2016-11-21,10779969.831148416
2016-11-22,10682261.628134368
2016-11-23,10576707.774010088
2016-11-24,10516997.529541323
2016-11-25,10503143.45646447
2016-11-28,10315383.545097616
2016-11-29,10304582.319944004
2016-11-30,10361125.759713257
2016-12-01,10170511.502724443
2016-12-02,10195735.874297548
2016-12-05,10164130.525564916
2016-12-06,10347652.659901265
2016-12-07,10344850.424033362
2016-12-08,10379627.821432445
2016-12-09,9727406.416349545
2016-12-12,9809147.138486162
2016-12-13,9772670.434182778
2016-12-14,9980283.626289086
2016-12-15,10257522.151488509
2016-12-16,10209144.300283536
2016-12-19,10277255.000683302
2016-12-20,10430123.378334776
2016-12-21,10417921.806969568
2016-12-22,10263290.046999559
2016-12-23,10396230.881479274
2016-12-26,10445827.350493675
2016-12-27,10464573.13005515
2016-12-28,10435094.162605917
2016-12-29,10398678.749249345
2016-12-30,10475167.427724613
2017-01-03,10574016.989568751
2017-01-04,10539144.689486908
2017-01-05,10353850.618319899
2017-01-06,10377378.969749684
2017-01-09,10387793.248519138
2017-01-10,10224278.596303066
2017-01-11,10126224.983941218
2017-01-12,9869967.127551122
2017-01-13,9364782.6918282
2017-01-16,9468723.99834404
2017-01-17,8849587.640030036
2017-01-18,8824803.899988577
2017-01-19,9059617.09814062
